timestamp,command_text,condition,stt_seconds,llm_seconds,tts_seconds,total_seconds,tool_called
2026-08-23 12:54:57,move forward for ten seconds,cold,9.881,146.450,9.545,165.876,move_robot
2026-08-23 12:55:42,turn left for three seconds,warm,5.353,13.642,7.367,26.361,move_robot
2026-08-23 12:56:30,turn right for two seconds,warm,4.752,12.435,7.636,24.824,move_robot
2026-08-23 12:57:04,move backwards for five seconds,warm,4.248,15.553,7.539,27.340,move_robot
2026-08-23 12:58:15,turn right for three seconds and then move forward for four seconds,warm,8.315,27.278,7.289,42.882,move_robot
2026-08-23 12:59:08,the room temperature,warm,2.833,10.127,11.165,24.125,get_room_temperature
2026-08-23 12:59:58,be,warm,5.804,7.139,9.093,22.037,get_current_time
2026-08-23 13:00:36,what is today's date,warm,4.393,7.779,11.527,23.699,get_current_date
2026-08-23 13:01:06,the weather outside and like,warm,3.320,8.738,10.957,23.015,get_outdoor_weather
2026-08-23 13:02:10,when does the nfl season usually start,warm,4.779,13.595,17.354,35.729,
2026-08-23 13:02:40,can you set a timer for ten seconds please,warm,5.257,9.574,8.243,23.074,set_timer
2026-08-23 13:03:30,can you switch to economists mode please,warm,6.864,12.781,7.720,27.365,set_mode
2026-08-23 13:07:19,move forward for three seconds,cold,4.843,13.563,7.391,25.798,move_robot
2026-08-23 14:16:14,move forward for three seconds,cold,6.282,137.553,9.161,152.996,move_robot
2026-08-23 14:22:44,move forward for three seconds,cold,3.840,121.156,7.290,132.286,move_robot
2026-08-23 14:26:43,the forward for three seconds,cold,4.333,129.585,7.272,141.191,move_robot
2026-08-23 14:30:44,move forward for three seconds,cold,5.767,140.531,7.313,153.611,move_robot
2026-08-23 14:36:24,move forward for three seconds,cold,4.277,12.591,7.195,24.063,move_robot
2026-08-23 14:38:24,move backwards for five seconds,warm,5.328,15.501,7.324,28.152,move_robot
2026-08-23 14:39:56,turn right for three seconds,warm,6.268,13.558,6.886,26.712,move_robot
2026-08-23 14:41:36,turn left for four seconds,warm,5.303,14.423,7.192,26.918,move_robot
2026-08-23 14:42:11,oh,warm,2.809,4.774,8.894,16.477,
2026-08-23 14:44:20,what's the temperature in this room,warm,5.903,7.914,11.232,25.049,get_room_temperature
2026-08-23 14:46:19,what's the temperature outside,warm,4.319,8.384,10.676,23.380,get_outdoor_weather
2026-08-23 14:48:22,what time is it right now,warm,5.329,7.652,9.007,21.987,get_current_time
2026-08-23 14:49:37,what is today's date,warm,4.784,7.461,10.883,23.128,get_current_date
2026-08-23 14:51:29,home,warm,1.836,10.699,11.589,24.125,get_room_temperature
2026-08-23 14:52:28,set a timer for ten seconds,warm,5.327,9.072,8.118,22.517,set_timer
2026-08-23 14:54:03,when does the nfl season start,warm,7.276,14.469,19.230,40.975,
2026-08-23 14:55:13,move forward for three seconds turn right for two seconds and then move forward for another four seconds,warm,9.757,33.649,7.102,50.508,move_robot
2026-08-23 14:56:23,switch your stay into the use your command state,warm,9.245,9.469,12.881,31.595,
2026-08-23 14:56:52,change to auto mode,warm,5.385,8.695,7.633,21.713,set_mode
2026-08-23 15:04:24,what is the temperature outside and inside,cold,6.280,35.046,39.084,80.410,
2026-08-23 15:06:33,he's very hot in here right now you know the temperature it is,warm,7.854,18.103,19.920,45.877,
2026-08-23 15:07:02,what is the temperature indoors right now,warm,4.792,8.027,11.267,24.086,get_room_temperature
2026-08-23 15:07:47,i'm about to step outside sure grab a jacket,warm,5.798,15.605,16.481,37.884,
2026-08-23 15:08:35,i'm about to go outside should i grabbed a jacket or not,warm,9.784,14.766,18.307,42.857,
2026-08-23 15:09:08,you know exactly what temperature it is outside,warm,5.314,9.422,10.608,25.343,get_outdoor_weather
2026-08-23 15:10:08,can you take a hard and right,warm,4.864,21.814,25.473,52.152,
2026-08-23 15:10:52,move forward for about an hour wait actually know move forward for two seconds,warm,7.815,22.590,7.406,37.811,move_robot
2026-08-23 15:11:35,take the wheel in drive yourself,warm,7.316,9.578,8.018,24.912,set_mode
2026-08-23 15:12:58,give me back control freak and start guide,warm,5.820,20.954,25.590,52.364,
2026-08-23 15:13:54,stop driving in give me back control,warm,6.291,21.213,11.433,38.937,get_current_date
2026-08-23 15:15:00,set a timer or a minute and a half,warm,5.769,10.104,9.501,25.374,set_timer
2026-08-23 15:15:35,can you stop the tire please,warm,3.823,9.146,6.957,19.926,move_robot
2026-08-23 15:15:59,can you stop the timer please,warm,4.812,7.280,7.377,19.470,cancel_timer
2026-08-23 15:19:20,i'm a little bored right now i do with the how would you suggest for me to do,warm,7.790,39.197,41.112,88.099,
2026-08-23 15:19:58,move forward for three seconds,warm,4.341,14.054,7.395,25.790,move_robot
2026-08-23 15:20:29,move backwards for three seconds,warm,3.291,13.869,7.215,24.375,move_robot
2026-08-23 15:20:53,for three seconds,warm,2.275,9.410,8.309,19.994,set_timer
2026-08-23 15:21:46,stop the timer and move forward for three seconds,warm,5.307,21.466,7.229,34.003,move_robot
2026-08-23 15:22:31,the backwards for three seconds,warm,3.770,14.475,7.532,25.776,move_robot
2026-08-23 15:22:58,turn right for one second,warm,3.807,12.085,7.119,23.011,move_robot
2026-08-23 15:23:30,turn left for one second,warm,4.317,11.930,7.358,23.605,move_robot
2026-08-23 15:23:57,turn right for one second,warm,3.819,11.910,7.147,22.876,move_robot
2026-08-23 15:24:24,that for one second,warm,2.780,9.868,7.191,19.839,move_robot
2026-08-23 15:24:56,turn left for one second,warm,4.775,12.035,7.218,24.028,move_robot
2026-08-23 15:25:35,right for five seconds,warm,3.286,15.989,7.372,26.646,move_robot
2026-08-23 15:26:21,the back for five seconds and then turned right for three seconds,warm,5.317,28.145,7.113,40.575,move_robot
2026-08-23 15:26:46,switch to manual mode,warm,3.795,8.814,7.865,20.474,set_mode
2026-08-23 15:27:17,the old mode,warm,2.328,9.065,12.198,23.591,
2026-08-23 15:28:03,the annual mode,warm,2.320,14.472,17.524,34.316,
2026-08-23 15:28:30,manual mode,warm,3.337,8.596,7.670,19.603,set_mode
2026-08-23 15:29:06,manual mode,warm,2.294,4.460,9.268,16.021,
2026-08-23 15:29:35,there in the room right now,warm,2.782,8.070,11.026,21.878,get_room_temperature
2026-08-23 15:30:05,what's the room temperature in here right now,warm,3.810,8.514,11.027,23.351,get_room_temperature
2026-08-23 15:30:51,you're in the room that i'm sitting in my chair right now,warm,4.342,16.418,18.666,39.426,
2026-08-23 15:31:23,what's the temperature in the room that i'm sitting the on my chair in right now,warm,5.785,9.745,11.230,26.760,get_room_temperature
2026-08-23 15:31:49,what's the weather out like outside,warm,4.289,6.442,8.833,19.564,
2026-08-23 15:32:24,the side,warm,2.253,12.578,15.530,30.360,
2026-08-23 15:32:53,what's the weather outside,warm,4.295,8.964,10.791,24.050,get_outdoor_weather
2026-08-23 15:33:41,they're like outsider and deciding whether i should go out there,warm,4.821,17.525,21.084,43.430,
2026-08-23 15:34:15,i'm currently outside right now what's the temperature,warm,6.797,9.655,10.927,27.380,get_outdoor_weather
2026-08-23 15:34:48,what's the temperature outside,warm,3.305,13.552,10.667,27.524,get_outdoor_weather
2026-08-23 15:35:12,is it right now,warm,2.292,7.764,9.127,19.183,get_current_time
2026-08-23 15:35:41,right now is it the morning,warm,2.759,9.576,11.841,24.176,
2026-08-23 15:36:14,the right now,warm,2.289,11.712,8.728,22.729,get_current_time
2026-08-23 15:36:38,what time is it,warm,2.281,7.819,8.984,19.085,get_current_time
2026-08-23 15:36:57,i'm is it right now,warm,2.352,3.863,7.423,13.638,
2026-08-23 15:37:27,what time is it right now,warm,2.807,8.810,9.056,20.674,get_current_time
2026-08-23 15:38:01,what is today's date,warm,8.848,7.911,11.096,27.855,get_current_date
2026-08-23 15:39:04,what is today's be,warm,3.310,19.161,24.527,46.998,
2026-08-23 15:39:36,what days it currently is it the twenty fourth,warm,5.301,6.221,9.331,20.853,
2026-08-23 15:40:14,is it current to leave,warm,3.269,11.044,14.825,29.137,
2026-08-23 15:41:11,what is today's date,warm,2.794,7.895,11.357,22.045,get_current_date
2026-08-23 15:41:46,what is seven times eight,warm,3.807,10.775,14.931,29.513,
2026-08-23 15:44:33,planetary bodies in our solar system,warm,4.258,71.943,83.636,159.836,
2026-08-23 15:47:26,why are baby such good way would learners,warm,5.353,61.489,90.886,157.728,
2026-08-23 17:40:14,what time is it right now,cold,4.336,109.913,10.465,124.713,get_current_time
2026-08-23 17:41:49,what time is it right now,warm,5.791,6.709,8.768,21.268,get_current_time
2026-08-23 17:42:43,what's the temperature in this room right now,warm,6.320,8.081,11.426,25.826,get_room_temperature
2026-08-23 17:43:29,move forward for one second,warm,7.325,11.664,7.202,26.191,move_robot
2026-08-23 17:44:29,we're move backwards for one second,warm,8.293,12.158,7.303,27.753,move_robot
2026-08-23 17:44:59,social jungle oh you know,warm,5.317,7.879,11.250,24.446,
2026-08-23 17:46:18,can you switch to manual mode,warm,7.286,8.863,7.634,23.783,set_mode
2026-08-23 17:46:53,blue right for one second,warm,5.798,11.920,7.085,24.803,move_robot
2026-08-23 17:53:37,what time is it right now,cold,5.781,8.189,10.884,24.854,get_current_time
2026-08-23 17:54:11,huh,warm,5.801,9.074,12.267,27.142,
2026-08-23 17:54:38,switch into i thought of this mode,warm,4.310,9.246,7.502,21.059,set_mode
